QUESTION,BT LEVEL,Processed Question,Prediction (Naïve Bayes),Prediction (Random Forest),Prediction (SVM)
Identify the type of crisis based on time as a critical variable. ,Comprehension,identifi the type of crisi base on time a a critic variable.,Analyze,Evaluate,Analyze
List TEN (10) components of an effective crisis communication plan.,Comprehension,list ten (10) compon of an effect crisi commun plan.,Analyze,Analyze,Analyze
Explain FIVE (5) ways that can be practiced by the organization to communicate during the crisis. ,Comprehension,explain five (5) way that can be practic by the organ to commun dure the crisis.,Apply,Apply,Understand
Identify TEN (10) tips during the press conference. ,Knowledge,identifi ten (10) tip dure the press conference.,Analyze,Analyze,Analyze
Explain the THREE (3) processes of forming a public opinion. Provide your answers with an example for each process. ,Comprehension,explain the three (3) process of form a public opinion. provid your answer with an exampl for each process.,Understand,Understand,Understand
Discuss FOUR (4) key components that involve in explaining an organizational crisis. Explain your answer with an example for each component. ,Comprehension,discu four (4) key compon that involv in explain an organiz crisis. explain your answer with an exampl for each component.,Understand,Understand,Understand
"As a spokesperson that is handling the crisis, identify TWO (2) potential trick questions that might be asked by the reporters during the press conference. Provide your answer with explanation and an example for each trick question identified. ",Comprehension,"a a spokesperson that is handl the crisis, identifi two (2) potenti trick question that might be ask by the report dure the press conference. provid your answer with explan and an exampl for each trick question identified.",Analyze,Analyze,Analyze
Sleep is a local phenomenon. Explain how this is possible. Provide TWO (2) examples to illustrate this. ,Comprehension,sleep is a local phenomenon. explain how thi is possible. provid two (2) exampl to illustr this.,Understand,Understand,Understand
Reason why a pornographic viewer's mind is likened to an addict's mind. Provide TWO (2) points. ,Comprehension,reason whi a pornograph viewer' mind is liken to an addict' mind. provid two (2) points.,Understand,Understand,Understand
Critically discuss on human's need to maintain a temperature of 37°C. Provide TWO (2) points. ,Analysis,critic discu on human' need to maintain a temperatur of 37°c. provid two (2) points.,Analyze,Evaluate,Analyze
Treating emotion as a useful concept is challenging. Critically discuss why treating emotion as a useful concept is challenging. Provide TWO (2) points. ,Comprehension,treat emot a a use concept is challenging. critic discu whi treat emot a a use concept is challenging. provid two (2) points.,Apply,Apply,Apply
Suggest FOUR (4) strategies that facilitate early childhood development from the physiological psychology perspectives. Elaborate your answers with examples. ,Synthesis,suggest four (4) strategi that facilit earli childhood develop from the physiolog psycholog perspectives. elabor your answer with examples.,Understand,Understand,Understand
Suggest FOUR (4) strategies that facilitate healthy adolescence development from the physiological psychology perspectives. Elaborate your answers with examples. ,Synthesis,suggest four (4) strategi that facilit healthi adolesc develop from the physiolog psycholog perspectives. elabor your answer with examples.,Understand,Understand,Understand
Assess THREE (3) brain structures that are associated with the language / speech function. Elaborate your answers with example. ,Evaluation,assess three (3) brain structur that are associ with the languag / speech function. elabor your answer with example.,Understand,Evaluate,Understand
"Imagine that you are a relative of an older adult who survives stroke, suggest FOUR (4) strategies to further promote the wellbeing of the individual. ",Synthesis,"imagin that you are a rel of an older adult who surviv stroke, suggest four (4) strategi to further promot the wellb of the individual.",Analyze,Analyze,Analyze
Suggest FOUR (4) strategies that improve adolescents' sleep from the physiological psychology perspectives. ,Synthesis,suggest four (4) strategi that improv adolescents' sleep from the physiolog psycholog perspectives.,Analyze,Analyze,Analyze
Describe what happens during the negative feedback loop of thermoregulation. ,Comprehension,describ what happen dure the neg feedback loop of thermoregulation.,Understand,Remember,Understand
Reason why hunger cannot be simplified as yet another homeostatic process. Provide TWO (2) points. ,Comprehension,reason whi hunger cannot be simplifi a yet anoth homeostat process. provid two (2) points.,Understand,Understand,Understand
Dopamine and glutamate have both been implicated as causes of schizophrenia. Discuss THREE (3) evidences each in relation to the dopamine and glutamate theories of schizophrenia. ,Comprehension,dopamin and glutam have both been implic a caus of schizophrenia. discu three (3) evid each in relat to the dopamin and glutam theori of schizophrenia.,Understand,Understand,Understand
Suggest FOUR (4) recommendations in dealing with intersexes. ,Synthesis,suggest four (4) recommend in deal with intersexes.,Evaluate,Evaluate,Evaluate
Suggest FOUR (4) strategies that reduce sleep deprivation from the physiological psychology perspectives. Elaborate your answers with examples. ,Synthesis,suggest four (4) strategi that reduc sleep depriv from the physiolog psycholog perspectives. elabor your answer with examples.,Analyze,Analyze,Analyze
Evaluate THREE (3) neurocognitive difficulties that may be experienced by people with suicidal-related behaviors. ,Evaluation,evalu three (3) neurocognit difficulti that may be experienc by peopl with suicidal-rel behaviors.,Analyze,Analyze,Analyze
Suggest FOUR (4) strategies that improve individuals' psychological well-being from the physiological psychology perspectives. Elaborate your answers with examples. ,Synthesis,suggest four (4) strategi that improv individuals' psycholog well-b from the physiolog psycholog perspectives. elabor your answer with examples.,Analyze,Analyze,Analyze
"Assess THREE (3) brain structures that are associated with wakefulness, arousal, and sleep. Elaborate your answers with example. ",Evaluation,"assess three (3) brain structur that are associ with wakefulness, arousal, and sleep. elabor your answer with example.",Understand,Evaluate,Understand
Assess THREE (3) brain structures that are associated with movement. Elaborate your answers with example. ,Evaluation,assess three (3) brain structur that are associ with movement. elabor your answer with example.,Understand,Evaluate,Understand
